"link";"titulo";"preco";"cidade";"bairro";"cep";"endereco_completo";"lat";"lon"
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vagas-universitario-268390006";"Vagas universitario";450;"Rio de Janeiro";" Rio Comprido";20261004;"Rua Aureliano Portugal, 20261004, Rio Comprido, Rio de Janeiro, RJ";-22,9251300918954;-43,2148410303655
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vagas-para-rapazes-em-copacabana-quarto-compartilhado-268374653";"Vagas Para Rapazes em Copacabana | Quarto compartilhado";500;"Rio de Janeiro";" Copacabana";22071100;"Rua Sá Ferreira, 22071100, Copacabana, Rio de Janeiro, RJ";-22,9811014592377;-43,1932758026084
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/loja-na-estrada-cabucu-proximo-prezunic-268367427";"Loja na estrada cabuçu próximo prezunic";1500;"Rio de Janeiro";" Campo Grande";23052350;"Rua Henri Dunant, 23052350, Campo Grande, Rio de Janeiro, RJ";-22,9063503828792;-43,5484269932156
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-compartilhado-em-copacabana-268360650";"Quarto compartilhado em Copacabana";500;"Rio de Janeiro";" Copacabana";22020010;"Rua Belfort Roxo, 22020010, Copacabana, Rio de Janeiro, RJ";-22,9635394028814;-43,176961802244
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/divido-quarto-com-moca-em-incrivel-casa-triplex-268348046";"Divido quarto com moça em incrível casa triplex";600;"Rio de Janeiro";" Recreio Dos Bandeirantes";22790670;"Rua Doutor Crespo, 22790670, Recreio dos Bandeirantes, Rio de Janeiro, RJ";-23,0128480592841;-43,4783967754502
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-em-copacabana-268331104";"Quarto em Copacabana";1350;"Rio de Janeiro";" Copacabana";22011030;"Rua Felipe de Oliveira, 22011030, Copacabana, Rio de Janeiro, RJ";-22,961551042141;-43,1771004976274
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/locacao-de-vagas-para-mocas-e-senhoras-em-curicica-161065930";"Locação de vagas para moças e senhoras em Curicica";350;"Rio de Janeiro";" Curicica";22780792;"Rua Aristeu, 22780792, Curicica, Rio de Janeiro, RJ";-22,9535748374213;-43,3805490458077
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/curicica-kitinete-25m-268323226";"Curicica - Kitinete - 25m²";400;"Rio de Janeiro";" Curicica";22775973;"Estrada dos Bandeirantes, 4687, 22775973, Curicica, Rio de Janeiro, RJ";-22,958805653509;-43,3855184968998
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vaga-para-mocas-na-tijuca-144676238";"Vaga para moças na Tijuca";NA;"Rio de Janeiro";" Maracanã";20270021;"Rua Senador Furtado, 20270021, Maracanã, Rio de Janeiro, RJ";-22,9113843713533;-43,2183298013791
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/otima-quitinete-na-taquara-1-mes-de-deposito-268317602";"Ótima Quitinete na Taquara 1 Mês de deposito";400;"Rio de Janeiro";" Taquara";22723025;"Rua Alexandre Martins de Castro Filho, 22723025, Taquara, Rio de Janeiro, RJ";-22,9236229827588;-43,3738475559899
